CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0003922,W,State Police,N,W,M,day,U,41-45,Y,Y
K0003923,W,State Police,N,W,M,night,a) less than 10,26-30,N,Y
K0003924,W,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0003925,W,State Police,N,W,F,night,U,21-25,N,Y
K0003926,W,State Police,N,H,M,night,U,21-25,N,Y
K0003927,W,State Police,N,W,F,day,U,16-20,N,Y
K0003928,W,State Police,N,W,M,night,U,41-45,N,Y
K0003931,W,State Police,N,W,M,night,U,16-20,N,Y
K0003932,T,State Police,N,W,F,night,U,36-40,N,Y
K0003935,W,State Police,N,W,M,night,a) less than 10,21-25,N,N
K0003937,W,State Police,N,W,F,night,a) less than 10,61-65,N,Y
K0003939,W,State Police,N,W,M,day,U,31-35,N,Y
K0003941,T,State Police,N,W,M,day,d) more than 20,61-65,N,Y
K0003942,T,State Police,N,W,M,day,d) more than 20,51-55,N,Y
K0003943,T,State Police,N,W,F,day,U,46-50,N,Y
K0003944,T,State Police,N,W,M,day,U,61-65,N,Y
K0003945,T,State Police,N,W,M,day,U,36-40,N,Y
K0003946,T,State Police,N,W,M,day,U,46-50,N,Y
K0003947,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0003948,T,State Police,N,W,F,night,b) 10 to 15,36-40,N,Y
K0003949,T,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0003950,T,State Police,N,W,M,day,b) 10 to 15,31-35,Y,Y
K0003951,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0003952,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0003954,T,State Police,N,W,M,day,c) 16 to 20,21-25,Y,Y
K0003955,T,State Police,N,W,F,day,c) 16 to 20,21-25,Y,Y
K0003956,T,State Police,N,A,M,day,c) 16 to 20,26-30,N,Y
K0003957,T,State Police,N,W,F,night,U,56-60,N,Y
K0003958,T,State Police,N,W,M,day,d) more than 20,26-30,Y,Y
K0003959,T,State Police,N,W,F,day,d) more than 20,41-45,N,Y
K0003960,T,State Police,N,W,F,night,U,16-20,N,Y
K0003966,W,State Police,N,W,M,day,U,41-45,Y,Y
K0003967,W,State Police,N,W,M,day,U,21-25,N,Y
K0003968,W,State Police,N,M,M,day,U,41-45,N,Y
K0003969,W,State Police,N,W,M,day,U,31-35,N,Y
K0003970,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0003971,T,State Police,N,W,M,day,U,21-25,N,Y
K0003981,T,State Police,N,H,M,day,b) 10 to 15,26-30,Y,Y
K0003982,W,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0003983,W,State Police,N,U,M,night,b) 10 to 15,26-30,N,Y
K0004001,T,State Police,N,B,M,day,U,41-45,N,Y
K0004002,T,State Police,N,M,M,day,U,26-30,N,Y
K0004003,T,State Police,N,W,M,day,U,51-55,N,Y
K0004005,T,State Police,N,W,M,day,U,46-50,N,Y
K0004006,T,State Police,N,H,F,day,U,31-35,N,Y
K0004009,T,State Police,N,B,F,day,U,31-35,N,Y
K0004010,T,State Police,N,W,F,day,U,41-45,N,Y
K0004011,T,State Police,N,W,F,day,U,46-50,N,Y
K0004012,T,State Police,N,W,M,day,U,41-45,N,Y
K0004016,T,State Police,N,B,F,night,U,21-25,Y,Y
K0004029,T,State Police,N,W,M,day,U,51-55,Y,Y
K0004033,T,State Police,N,W,M,day,U,16-20,N,Y
K0004037,T,State Police,N,H,F,day,U,31-35,N,Y
K0004039,T,State Police,N,W,F,day,U,51-55,N,Y
K0004040,T,State Police,N,W,M,day,U,26-30,N,Y
K0004041,T,State Police,N,H,M,day,U,21-25,N,N
K0004042,T,State Police,N,W,M,day,U,31-35,N,Y
K0004043,T,State Police,N,W,M,night,U,31-35,N,Y
K0004049,T,State Police,N,W,M,night,U,21-25,N,Y
K0004052,T,State Police,N,H,M,night,U,36-40,N,Y
K0004056,T,State Police,N,W,M,night,U,16-20,N,Y
K0004065,T,State Police,N,W,M,night,U,26-30,N,Y
K0004067,T,State Police,N,W,F,day,U,61-65,N,Y
K0004068,T,State Police,N,W,M,day,U,26-30,N,Y
K0004071,T,State Police,N,W,M,day,U,26-30,N,Y
K0004074,T,State Police,N,W,F,day,U,36-40,N,Y
K0004079,T,State Police,N,W,F,day,U,51-55,N,Y
K0004080,T,State Police,N,W,M,night,U,26-30,N,Y
K0004082,T,State Police,N,B,M,night,U,31-35,N,Y
K0004083,T,State Police,N,W,M,night,U,46-50,N,N
K0004084,T,State Police,N,H,M,night,U,26-30,N,Y
K0004085,T,State Police,N,W,M,night,U,31-35,N,N
K0004086,T,State Police,N,W,M,night,U,26-30,N,Y
K0004088,T,State Police,N,W,M,day,U,26-30,N,Y
K0004094,T,State Police,N,A,M,night,U,16-20,N,Y
K0004098,T,State Police,N,W,M,night,U,16-20,N,Y
K0004121,T,State Police,N,W,M,day,U,61-65,N,Y
K0004125,W,State Police,N,W,M,night,U,16-20,N,Y
K0004127,T,State Police,N,W,M,day,U,26-30,N,Y
K0004128,T,State Police,N,W,M,day,b) 10 to 15,16-20,Y,Y
K0004129,T,State Police,N,W,F,day,U,26-30,N,Y
K0004130,T,State Police,N,W,M,day,d) more than 20,41-45,N,Y
K0004133,T,State Police,N,W,M,day,U,36-40,N,Y
K0004134,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0004135,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0004140,T,State Police,N,W,M,day,U,51-55,N,N
K0004141,T,State Police,N,W,F,day,U,31-35,N,Y
K0004142,T,State Police,N,W,M,day,U,36-40,N,Y
K0004143,T,State Police,N,M,M,day,U,31-35,N,Y
K0004150,T,State Police,N,W,F,day,U,46-50,N,Y
K0004153,T,State Police,N,W,M,night,d) more than 20,21-25,N,N
K0004154,T,State Police,N,W,M,night,d) more than 20,46-50,N,Y
K0004157,T,State Police,N,W,M,night,c) 16 to 20,16-20,N,Y
K0004158,W,State Police,N,W,M,night,b) 10 to 15,56-60,Y,Y
K0004159,W,State Police,N,W,M,night,b) 10 to 15,41-45,N,Y
K0004163,T,State Police,N,W,F,night,U,21-25,N,Y
K0004164,T,State Police,N,W,M,night,d) more than 20,16-20,N,Y
K0004166,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,Y
K0004167,T,State Police,N,W,M,night,c) 16 to 20,26-30,N,N
K0004168,T,State Police,N,W,F,night,c) 16 to 20,21-25,N,Y
K0004169,T,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0004174,T,State Police,N,W,M,night,U,21-25,Y,Y
K0004179,W,State Police,N,W,F,night,U,41-45,N,Y
K0004181,T,State Police,N,W,M,day,b) 10 to 15,51-55,N,Y
K0004187,T,State Police,N,B,M,night,c) 16 to 20,21-25,N,Y
K0004188,T,State Police,N,H,M,night,U,36-40,Y,Y
K0004194,T,State Police,N,W,M,day,U,36-40,N,Y
K0004196,T,State Police,N,W,M,day,U,21-25,N,Y
K0004200,T,State Police,N,A,F,night,U,36-40,N,Y
K0004203,T,State Police,N,H,M,day,U,31-35,N,Y
K0004205,T,State Police,N,W,M,day,U,46-50,N,N
K0004208,T,State Police,N,H,M,day,U,41-45,N,Y
K0004209,T,State Police,N,W,M,day,U,56-60,N,Y
K0004211,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0004214,T,State Police,N,W,F,day,c) 16 to 20,26-30,N,Y
K0004216,T,State Police,N,A,M,day,b) 10 to 15,36-40,N,Y
K0004220,T,State Police,N,W,M,day,d) more than 20,36-40,Y,Y
K0004226,W,State Police,N,W,M,day,U,26-30,N,Y
K0004227,W,State Police,N,H,F,day,U,21-25,N,Y
K0004228,T,State Police,N,W,M,day,U,51-55,N,Y
K0004229,T,State Police,N,W,M,day,U,41-45,Y,Y
K0004230,T,State Police,N,W,M,day,U,51-55,N,Y
K0004235,W,State Police,N,W,F,day,U,36-40,N,Y
K0004236,T,State Police,N,W,M,day,U,41-45,Y,Y
K0004237,T,State Police,N,B,M,day,a) less than 10,31-35,N,Y
K0004238,W,State Police,N,B,F,day,U,21-25,N,Y
K0004239,W,State Police,N,W,M,day,U,36-40,N,Y
K0004240,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,N
K0004241,T,State Police,N,W,F,day,U,31-35,N,Y
K0004243,T,State Police,N,W,F,day,U,36-40,N,Y
K0004244,T,State Police,N,W,M,day,U,31-35,N,Y
K0004245,T,State Police,N,W,M,day,U,41-45,N,Y
K0004247,T,State Police,N,B,M,day,U,16-20,N,Y
K0004249,T,State Police,N,W,M,day,U,21-25,N,Y
K0004250,T,State Police,N,W,M,night,U,41-45,Y,Y
K0004251,T,State Police,N,W,M,day,U,26-30,Y,Y
K0004252,T,State Police,N,W,M,day,U,41-45,N,Y
K0004255,T,State Police,N,W,M,day,U,51-55,N,N
K0004256,T,State Police,N,W,M,night,U,41-45,N,Y
K0004257,T,State Police,N,W,M,night,d) more than 20,56-60,N,Y
K0004258,T,State Police,N,H,M,night,U,61-65,N,Y
K0004260,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,N
K0004261,T,State Police,N,W,M,night,c) 16 to 20,41-45,N,Y
K0004263,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,N
K0004265,T,State Police,N,H,F,night,c) 16 to 20,41-45,Y,Y
K0004266,T,State Police,N,W,F,night,c) 16 to 20,41-45,N,Y
K0004269,T,State Police,N,B,M,night,d) more than 20,31-35,N,Y
K0004270,T,State Police,N,B,F,night,d) more than 20,21-25,N,Y
K0004278,T,State Police,N,W,M,night,U,36-40,N,N
K0004279,T,State Police,N,W,M,day,U,21-25,N,Y
K0004281,T,State Police,N,H,M,day,a) less than 10,21-25,N,Y
K0004282,T,State Police,N,U,M,night,c) 16 to 20,41-45,N,N
K0004283,T,State Police,N,U,M,day,c) 16 to 20,46-50,N,N
K0004284,T,State Police,N,H,M,day,d) more than 20,26-30,N,Y
K0004285,T,State Police,N,W,M,night,c) 16 to 20,56-60,N,Y
K0004286,T,State Police,N,W,F,day,U,26-30,Y,Y
K0004287,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0004288,T,State Police,N,W,F,day,U,36-40,Y,Y
K0004289,T,State Police,N,B,F,day,U,41-45,N,Y
K0004291,T,State Police,N,W,M,day,d) more than 20,21-25,N,Y
K0004292,T,State Police,N,W,M,day,d) more than 20,36-40,N,Y
K0004295,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0004297,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0004298,T,State Police,N,W,M,day,U,86-90,N,Y
K0004300,T,State Police,N,W,M,night,U,41-45,N,Y
K0004305,T,State Police,N,W,M,day,U,26-30,N,Y
K0004310,T,State Police,N,W,F,day,U,46-50,Y,Y
K0004311,T,State Police,N,A,M,day,U,26-30,N,Y
K0004315,T,State Police,N,W,M,day,U,36-40,N,Y
K0004316,T,State Police,N,W,M,day,U,31-35,N,N
K0004317,T,State Police,N,W,M,day,U,51-55,N,N
K0004322,T,State Police,N,A,M,night,b) 10 to 15,46-50,N,Y
K0004325,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0004326,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0004332,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,Y
K0004334,T,State Police,N,W,F,day,c) 16 to 20,26-30,N,Y
K0004335,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0004336,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0004337,T,State Police,N,U,F,day,b) 10 to 15,36-40,Y,Y
K0004338,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0004339,T,State Police,N,A,F,day,c) 16 to 20,21-25,N,Y
K0004340,T,State Police,N,B,M,day,d) more than 20,26-30,N,Y
K0004357,T,State Police,N,W,M,night,c) 16 to 20,31-35,N,Y
K0004360,T,State Police,N,W,F,day,c) 16 to 20,56-60,N,N
K0004364,T,State Police,N,B,F,day,b) 10 to 15,26-30,N,Y
K0004366,T,State Police,N,W,F,night,U,41-45,N,Y
K0004368,T,State Police,N,W,M,day,c) 16 to 20,46-50,N,Y
K0004382,T,State Police,N,A,F,day,U,21-25,N,N
K0004383,T,State Police,N,W,M,day,U,41-45,N,N
K0004384,T,State Police,N,W,M,day,U,36-40,N,Y
K0004385,T,State Police,N,W,M,day,U,36-40,N,Y
K0004386,T,State Police,N,W,M,day,U,16-20,N,Y
K0004387,T,State Police,N,W,F,day,U,36-40,N,N
K0004388,T,State Police,N,W,M,day,U,36-40,N,Y
K0004389,T,State Police,N,W,M,day,U,46-50,N,Y
K0004390,T,State Police,N,W,F,day,U,51-55,N,Y
K0004392,T,State Police,N,W,F,day,b) 10 to 15,46-50,N,N
K0004394,T,State Police,N,W,M,day,c) 16 to 20,56-60,N,Y
K0004397,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0004398,T,State Police,N,W,F,night,c) 16 to 20,31-35,N,Y
K0004403,T,State Police,N,U,U,night,U,36-40,N,Y
K0004404,T,State Police,N,B,M,day,c) 16 to 20,46-50,N,Y
K0004409,T,State Police,N,W,M,day,U,41-45,N,Y
K0004410,W,State Police,N,W,F,day,a) less than 10,36-40,N,Y
K0004411,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,Y
K0004412,W,State Police,N,W,M,day,a) less than 10,51-55,U,N
K0004416,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0004418,T,State Police,N,H,M,day,U,46-50,N,Y
K0004419,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0004421,T,State Police,N,W,F,day,c) 16 to 20,46-50,N,Y
K0004431,W,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0004433,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0004438,W,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0004454,W,State Police,N,W,F,day,c) 16 to 20,36-40,N,Y
K0004455,W,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0004456,W,State Police,N,H,M,day,b) 10 to 15,51-55,N,Y
K0004458,W,State Police,N,W,F,night,b) 10 to 15,26-30,U,N
K0004460,W,State Police,N,W,M,day,U,46-50,N,Y
K0004461,T,State Police,N,W,M,day,U,41-45,N,Y
K0004475,T,State Police,N,W,F,night,U,56-60,N,Y
K0004477,T,State Police,N,W,M,day,c) 16 to 20,21-25,Y,Y
K0004487,T,State Police,N,A,M,night,d) more than 20,16-20,N,Y
K0004488,T,State Police,N,W,M,night,U,36-40,Y,Y
K0004489,W,State Police,N,W,M,day,U,26-30,N,Y
K0004502,T,State Police,N,W,M,night,U,21-25,N,Y
K0004508,T,State Police,N,H,M,night,d) more than 20,26-30,N,Y
K0004509,T,State Police,N,W,M,night,d) more than 20,36-40,N,Y
K0004510,T,State Police,N,W,F,night,d) more than 20,26-30,N,Y
K0004514,T,State Police,N,W,M,night,U,66-70,N,Y
K0004517,T,State Police,N,B,M,night,d) more than 20,21-25,N,Y
K0004519,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,N
K0004523,T,State Police,N,H,M,night,U,41-45,N,Y
K0004524,T,State Police,N,W,M,night,U,26-30,N,Y
K0004528,T,State Police,N,W,M,night,U,16-20,N,Y
K0004529,T,State Police,N,B,M,night,U,21-25,N,Y
K0004532,T,State Police,N,B,M,night,U,26-30,Y,Y
K0004533,W,State Police,N,W,M,day,U,36-40,N,Y
K0004534,T,State Police,N,W,M,day,U,51-55,N,Y
K0004536,W,State Police,N,H,M,night,U,26-30,N,Y
K0004537,T,State Police,N,A,M,night,U,46-50,N,Y
K0004539,W,State Police,N,W,M,night,U,26-30,N,Y
K0004543,T,State Police,N,H,M,night,b) 10 to 15,26-30,N,Y
K0004545,T,State Police,N,W,F,day,U,16-20,N,Y
K0004547,T,State Police,N,B,M,day,b) 10 to 15,21-25,N,Y
K0004548,T,State Police,N,W,M,day,U,31-35,N,Y
K0004550,T,State Police,N,W,M,day,U,21-25,N,N
K0004554,T,State Police,N,W,F,day,U,21-25,Y,Y
K0004555,T,State Police,N,W,M,day,U,21-25,Y,Y
K0004559,T,State Police,N,H,M,day,U,36-40,N,Y
K0004581,T,State Police,N,A,M,day,U,21-25,N,Y
K0004582,T,State Police,N,W,F,day,U,41-45,N,Y
K0004604,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0004605,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0004611,T,State Police,N,W,M,day,U,56-60,N,N
K0004614,W,State Police,N,W,M,day,U,46-50,N,Y
K0004617,T,State Police,N,W,F,day,d) more than 20,31-35,N,Y
K0004618,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0004623,W,State Police,N,A,M,night,U,36-40,N,Y
K0004627,W,State Police,N,W,M,day,U,46-50,Y,Y
K0004628,T,State Police,N,W,M,day,U,51-55,N,Y
K0004629,T,State Police,N,W,F,day,U,41-45,N,Y
K0004641,T,State Police,N,W,M,night,d) more than 20,16-20,N,Y
K0004642,T,State Police,N,W,M,night,U,46-50,N,Y
K0004648,W,State Police,N,W,M,night,U,21-25,Y,Y
K0004650,T,State Police,N,W,M,day,U,36-40,N,Y
K0004653,W,State Police,N,W,M,day,U,26-30,N,Y
K0004654,T,State Police,N,B,M,day,U,31-35,N,Y
K0004656,T,State Police,N,W,M,day,U,36-40,N,N
K0004657,T,State Police,N,W,M,day,U,56-60,Y,Y
K0004659,T,State Police,N,W,M,day,U,36-40,N,Y
K0004660,T,State Police,N,W,M,night,U,41-45,N,Y
K0004662,T,State Police,N,H,M,day,U,36-40,N,Y
K0004669,T,State Police,N,W,F,day,U,26-30,N,Y
K0004682,T,State Police,N,W,M,day,U,21-25,N,N
K0004684,T,State Police,N,W,M,day,U,26-30,N,N
K0004685,T,State Police,N,W,M,day,U,21-25,Y,Y
K0004700,T,State Police,N,W,M,day,U,46-50,N,N
K0004702,W,State Police,N,H,F,day,U,26-30,N,Y
K0004703,T,State Police,N,W,F,day,U,26-30,N,Y
K0004704,W,State Police,N,W,M,day,U,21-25,N,N
K0004705,T,State Police,N,H,M,day,U,26-30,N,Y
K0004706,W,State Police,N,W,M,day,U,21-25,N,Y
K0004707,T,State Police,N,H,M,day,U,36-40,N,Y
K0004708,W,State Police,N,W,M,day,U,61-65,N,Y
K0004711,W,State Police,N,A,F,day,U,26-30,N,Y
K0004713,T,State Police,N,W,M,day,U,31-35,N,Y
K0004714,T,State Police,N,W,M,day,U,36-40,N,N
K0004723,T,State Police,N,A,M,day,U,46-50,N,Y
K0004730,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0004731,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0004732,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0004737,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0004740,T,State Police,N,W,M,day,U,31-35,N,Y
K0004750,T,State Police,N,W,M,day,U,31-35,N,Y
K0004751,T,State Police,N,W,M,day,U,36-40,Y,Y
K0004755,T,State Police,N,A,M,day,c) 16 to 20,36-40,N,Y
K0004759,T,State Police,N,B,M,day,U,51-55,N,Y
K0004761,T,State Police,N,W,M,night,U,21-25,N,Y
K0004762,T,State Police,N,W,M,night,U,16-20,N,Y
K0004766,W,State Police,N,W,F,day,c) 16 to 20,26-30,N,N
K0004767,W,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0004770,T,State Police,N,W,M,day,U,26-30,N,Y
K0004783,T,State Police,N,H,M,day,U,36-40,N,Y
K0004786,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0004787,W,State Police,N,W,M,day,U,36-40,N,Y
K0004789,W,State Police,N,W,M,day,U,21-25,N,Y
K0004790,W,State Police,N,W,M,day,U,21-25,N,Y
K0004791,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0004792,W,State Police,N,B,F,day,U,36-40,N,Y
K0004793,W,State Police,N,W,M,day,c) 16 to 20,16-20,Y,Y
K0004794,T,State Police,N,A,F,day,b) 10 to 15,21-25,Y,Y
K0004795,W,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0004796,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0004797,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0004798,T,State Police,N,W,M,day,c) 16 to 20,36-40,Y,Y
K0004799,W,State Police,N,W,F,day,U,46-50,N,Y
K0004800,W,State Police,N,W,M,day,U,41-45,N,Y
K0004801,T,State Police,N,B,M,night,d) more than 20,31-35,Y,Y
K0004810,T,State Police,N,H,M,night,d) more than 20,31-35,N,Y
K0004811,T,State Police,N,W,F,day,d) more than 20,31-35,N,Y
K0004812,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0004813,T,State Police,N,B,F,night,U,41-45,N,Y
K0004814,W,State Police,N,W,M,night,U,36-40,N,Y
K0004815,T,State Police,N,W,M,night,U,36-40,N,Y
K0004816,W,State Police,N,W,F,night,U,46-50,N,Y
K0004818,W,State Police,N,B,F,day,U,71-75,N,N
K0004821,T,State Police,N,W,M,night,U,31-35,N,Y
K0004824,T,State Police,N,W,M,night,d) more than 20,51-55,N,Y
K0004825,T,State Police,N,W,M,night,U,31-35,N,Y
K0004826,T,State Police,N,W,F,day,U,41-45,N,Y
K0004835,T,State Police,N,W,M,night,U,21-25,N,Y
K0004836,T,State Police,N,W,F,night,U,26-30,Y,Y
K0004837,T,State Police,N,W,M,night,U,41-45,N,Y
K0004838,T,State Police,N,W,M,night,d) more than 20,36-40,N,Y
K0004846,T,State Police,N,W,M,day,U,46-50,N,Y
K0004927,T,State Police,N,W,M,day,U,21-25,N,Y
K0004929,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,N
K0004932,T,State Police,N,W,F,day,d) more than 20,66-70,N,Y
K0004933,T,State Police,N,W,F,day,U,21-25,N,Y
K0004937,T,State Police,N,W,M,day,d) more than 20,21-25,N,N
K0004948,W,State Police,N,M,F,night,b) 10 to 15,41-45,N,N
K0004949,T,State Police,N,B,M,night,d) more than 20,21-25,N,Y
K0004950,T,State Police,N,A,M,night,b) 10 to 15,41-45,N,Y
K0004951,T,State Police,N,B,M,night,a) less than 10,21-25,N,Y
K0004963,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,N
K0004969,T,State Police,N,H,M,night,U,31-35,N,Y
K0004971,T,State Police,N,B,M,day,U,51-55,N,Y
K0004975,W,State Police,N,W,M,night,U,36-40,N,Y
K0004976,W,State Police,N,W,M,night,U,36-40,N,Y
K0004977,W,State Police,N,W,M,night,U,56-60,N,Y
K0004979,W,State Police,N,W,F,night,U,41-45,N,Y
K0004980,W,State Police,N,W,M,night,U,51-55,N,Y
K0004987,T,State Police,N,W,F,day,U,41-45,N,N
K0005004,T,State Police,N,W,M,night,c) 16 to 20,31-35,N,Y
K0005005,T,State Police,N,W,M,night,d) more than 20,41-45,N,Y
K0005006,T,State Police,N,W,M,night,U,31-35,N,N
K0005008,T,State Police,N,H,M,night,U,21-25,Y,Y
K0005009,T,State Police,N,W,M,night,U,26-30,N,Y
K0005010,T,State Police,N,W,M,night,c) 16 to 20,46-50,N,N
K0005011,T,State Police,N,W,M,night,d) more than 20,31-35,U,N
K0005012,T,State Police,N,W,M,night,d) more than 20,26-30,N,N
K0005014,T,State Police,N,W,M,night,U,26-30,N,Y
K0005015,T,State Police,N,W,M,night,c) 16 to 20,51-55,N,Y
K0005018,W,State Police,N,W,M,night,U,46-50,N,Y
K0005019,W,State Police,N,W,M,night,U,31-35,N,Y
K0005022,T,State Police,N,B,M,night,b) 10 to 15,36-40,N,Y
K0005025,T,State Police,N,W,M,day,U,41-45,N,Y
K0005026,T,State Police,N,B,M,day,U,21-25,N,Y
K0005027,T,State Police,N,B,M,day,U,26-30,N,Y
K0005031,T,State Police,N,H,M,night,U,16-20,U,Y
K0005038,T,State Police,N,W,M,night,U,21-25,Y,Y
K0005039,T,State Police,N,A,F,night,U,31-35,N,Y
K0005045,T,State Police,N,A,M,night,U,31-35,N,Y
K0005048,T,State Police,N,W,M,day,U,36-40,N,Y
K0005049,W,State Police,N,W,M,day,U,31-35,U,N
K0005059,W,State Police,N,W,M,day,U,21-25,N,Y
K0005081,T,State Police,N,W,M,day,U,21-25,N,Y
K0005082,T,State Police,N,W,M,day,U,51-55,N,Y
K0005084,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,Y
K0005085,T,State Police,N,H,F,night,U,51-55,N,Y
K0005121,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0005122,T,State Police,N,M,F,day,b) 10 to 15,21-25,N,Y
K0005123,T,State Police,N,W,M,day,d) more than 20,41-45,N,N
K0005124,T,State Police,N,W,M,day,U,31-35,N,Y
K0005126,T,State Police,N,W,F,night,c) 16 to 20,31-35,N,N
K0005127,T,State Police,N,W,F,night,c) 16 to 20,21-25,N,Y
K0005129,T,State Police,N,W,F,day,c) 16 to 20,46-50,N,N
K0005130,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0005131,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0005132,T,State Police,N,H,M,day,b) 10 to 15,21-25,N,Y
K0005133,T,State Police,N,A,M,day,c) 16 to 20,21-25,N,N
K0005134,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005135,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005136,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0005138,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005139,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0005140,T,State Police,N,A,M,night,d) more than 20,46-50,N,Y
K0005144,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0005145,T,State Police,N,W,M,night,b) 10 to 15,41-45,N,Y
K0005147,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005148,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,Y
K0005149,T,State Police,N,W,M,day,b) 10 to 15,36-40,Y,Y
K0005150,T,State Police,N,W,M,night,b) 10 to 15,36-40,U,N
K0005151,T,State Police,N,W,M,night,U,21-25,N,N
K0005152,T,State Police,N,A,M,night,b) 10 to 15,31-35,N,N
K0005156,T,State Police,N,B,M,night,b) 10 to 15,31-35,N,N
K0005157,T,State Police,N,H,M,night,b) 10 to 15,31-35,N,Y
K0005158,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0005161,W,State Police,N,W,F,day,a) less than 10,31-35,N,N
K0005162,W,State Police,N,A,M,day,a) less than 10,31-35,N,N
K0005163,W,State Police,N,W,M,day,a) less than 10,21-25,N,N
K0005165,W,State Police,N,W,F,day,a) less than 10,31-35,N,Y
K0005166,W,State Police,N,M,F,day,a) less than 10,41-45,N,N
K0005167,W,State Police,N,W,F,day,a) less than 10,21-25,N,N
K0005169,W,State Police,N,W,M,day,a) less than 10,26-30,N,Y
K0005170,W,State Police,N,W,M,day,U,31-35,N,Y
K0005171,W,State Police,N,W,M,day,a) less than 10,46-50,N,N
K0005172,W,State Police,N,W,F,day,a) less than 10,16-20,N,Y
K0005173,T,State Police,N,U,M,day,b) 10 to 15,26-30,N,N
K0005174,W,State Police,N,W,M,day,a) less than 10,66-70,N,Y
K0005184,T,State Police,N,W,M,night,U,26-30,Y,Y
K0005192,W,State Police,N,W,M,day,b) 10 to 15,81-85,N,Y
K0005193,T,State Police,N,B,M,day,U,21-25,Y,Y
K0005195,W,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005196,W,State Police,N,W,M,day,b) 10 to 15,46-50,Y,Y
