CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0002080,W,State Police,N,B,M,night,U,61-65,N,Y
K0002081,W,State Police,N,W,F,day,U,21-25,N,Y
K0002082,W,State Police,N,W,F,day,U,36-40,N,N
K0002083,W,State Police,N,W,F,day,U,26-30,Y,Y
K0002085,W,State Police,N,W,F,night,U,41-45,N,Y
K0002087,W,State Police,N,W,M,night,U,26-30,Y,Y
K0002089,T,State Police,N,W,M,day,U,21-25,N,Y
K0002090,W,State Police,N,W,M,night,U,16-20,N,Y
K0002091,T,State Police,N,W,M,night,U,21-25,N,Y
K0002092,T,State Police,N,W,M,night,U,56-60,N,Y
K0002093,W,State Police,N,W,M,night,U,36-40,Y,Y
K0002095,W,State Police,N,W,M,day,U,51-55,N,Y
K0002096,W,State Police,N,W,M,day,U,16-20,Y,Y
K0002097,W,State Police,N,W,F,day,U,36-40,N,Y
K0002098,W,State Police,N,B,M,night,U,51-55,N,Y
K0002101,W,State Police,N,W,M,day,U,31-35,N,N
K0002102,W,State Police,N,W,M,night,U,36-40,N,Y
K0002103,W,State Police,N,W,M,day,b) 10 to 15,51-55,N,Y
K0002105,W,State Police,N,W,F,night,U,41-45,N,Y
K0002107,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0002108,W,State Police,N,B,M,night,c) 16 to 20,41-45,N,Y
K0002109,W,State Police,N,W,M,night,U,46-50,N,N
K0002110,W,State Police,N,W,M,night,d) more than 20,56-60,N,Y
K0002112,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0002113,W,State Police,N,W,M,day,U,61-65,N,Y
K0002114,T,State Police,N,W,F,night,d) more than 20,46-50,N,N
K0002118,W,State Police,N,W,M,day,U,61-65,N,N
K0002119,W,State Police,N,W,F,day,c) 16 to 20,31-35,N,Y
K0002121,W,State Police,N,W,M,night,U,31-35,N,Y
K0002123,W,State Police,N,W,M,day,c) 16 to 20,36-40,N,N
K0002124,W,State Police,N,W,F,night,U,36-40,Y,Y
K0002125,W,State Police,N,W,M,day,U,16-20,N,Y
K0002126,W,State Police,N,W,M,day,U,16-20,N,Y
K0002127,W,State Police,N,W,F,day,U,16-20,N,Y
K0002132,W,State Police,N,W,M,day,U,51-55,N,Y
K0002133,T,State Police,N,W,M,day,U,31-35,N,N
K0002135,W,State Police,N,W,F,day,b) 10 to 15,46-50,N,N
K0002137,W,State Police,N,W,F,day,U,36-40,N,Y
K0002138,W,State Police,N,W,M,day,U,51-55,N,Y
K0002140,W,State Police,N,W,M,day,U,21-25,N,Y
K0002142,W,State Police,N,W,M,day,U,46-50,N,N
K0002144,W,State Police,N,W,F,night,U,31-35,N,Y
K0002146,W,State Police,N,W,F,day,U,31-35,Y,Y
K0002148,W,State Police,N,B,M,day,b) 10 to 15,36-40,N,Y
K0002149,T,State Police,N,W,M,day,U,51-55,N,Y
K0002152,W,State Police,N,W,F,night,U,51-55,N,Y
K0002157,W,State Police,N,W,M,night,U,16-20,Y,Y
K0002159,W,State Police,N,W,F,day,b) 10 to 15,31-35,N,N
K0002160,W,State Police,N,W,M,day,b) 10 to 15,76-80,N,Y
K0002161,W,State Police,N,W,F,day,a) less than 10,21-25,N,Y
K0002163,W,State Police,N,W,M,day,a) less than 10,41-45,U,N
K0002164,W,State Police,N,W,M,day,a) less than 10,36-40,N,N
K0002165,W,State Police,N,W,F,day,a) less than 10,51-55,N,N
K0002166,W,State Police,N,W,M,day,a) less than 10,76-80,N,N
K0002169,W,State Police,N,W,F,day,a) less than 10,56-60,N,Y
K0002171,W,State Police,N,W,M,night,a) less than 10,51-55,N,Y
K0002172,T,State Police,N,W,M,day,U,56-60,N,Y
K0002179,T,State Police,N,W,M,day,b) 10 to 15,51-55,N,N
K0002181,W,State Police,N,W,M,day,b) 10 to 15,16-20,N,N
K0002182,T,State Police,N,W,M,day,U,36-40,Y,Y
